[2019-01-05 00:05:08][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 4 times]
[2019-01-05 00:05:09][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 5 times]
[2019-01-05 00:05:09][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 6 times]
[2019-01-05 00:05:09][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 7 times]
[2019-01-05 00:05:09][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 8 times]
[2019-01-05 00:05:09][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 9 times]
[2019-01-05 00:05:09][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 10 times]
[2019-01-05 00:05:10][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 11 times]
[2019-01-05 00:05:10][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 12 times]
[2019-01-05 00:05:10][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 13 times]
[2019-01-05 00:05:10][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 14 times]
[2019-01-05 00:05:10][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 15 times]
[2019-01-05 00:05:10][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 16 times]
[2019-01-05 00:05:10][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 17 times]
[2019-01-05 00:05:11][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 18 times]
[2019-01-05 00:05:11][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 19 times]
[2019-01-05 00:05:11][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 20 times]
[2019-01-05 00:05:11][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 21 times]
[2019-01-05 00:05:11][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 22 times]
[2019-01-05 00:05:11][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 23 times]
[2019-01-05 00:05:12][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 24 times]
[2019-01-05 00:05:12][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 25 times]
[2019-01-05 00:05:12][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 26 times]
[2019-01-05 00:05:12][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 27 times]
[2019-01-05 00:05:12][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 28 times]
[2019-01-05 00:05:12][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 29 times]
[2019-01-05 00:05:12][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 30 times]
[2019-01-05 00:05:13][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 31 times]
[2019-01-05 00:05:13][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 32 times]
[2019-01-05 00:05:13][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 33 times]
[2019-01-05 00:05:13][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 34 times]
[2019-01-05 00:05:13][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 35 times]
[2019-01-05 00:05:13][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 36 times]
[2019-01-05 00:05:13][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 37 times]
[2019-01-05 00:05:14][MainThread:9204][task_id:new_logger][tushare_data.py:33][INFO][tushare call 38 times]
